label,area,perimeter,solidity,extent,mean_intensity,max_intensity,min_intensity,eccentricity,major_axis_length,minor_axis_length,orientation,circularity,intensity_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation
36,1198.0,142.46803743153546,0.9366692728694292,0.6582417582417582,61.13272120200334,196.0,4.0,0.7750504290345637,50.28856180789964,31.777311266609306,0.10364565518485414,0.7417060109365514,27.879928235885604,646.8481675392668,0.05012409360843371,0.027232960792892204,0.5730559391543785
37,1141.0,127.39696961966999,0.9661303979678239,0.7521423862887278,55.685363716038566,184.0,4.0,0.4590079288707243,40.51404658806028,35.99398233809006,0.2695952931394984,0.8834405168602043,27.13200188628977,576.8899999999999,0.053525846603172327,0.029331392372548507,0.6124201018549494
38,1603.0,156.02438661763952,0.9679951690821256,0.685042735042735,75.9195258889582,193.0,4.0,0.5112638536880517,49.35256042492324,42.41476513225709,-0.05071478519239964,0.8274817391808852,31.305256762411265,800.3726627981948,0.049460574246988534,0.02370261308143365,0.5859953563715825
39,386.0,92.01219330881975,0.9323671497584541,0.6185897435897436,27.83419689119171,85.0,0.0,0.9113610117030745,36.52335475921136,15.033303261389234,-0.1435582746926333,0.572936383477418,15.258004660515123,308.62790697674416,0.08101906702751667,0.04950403013350698,0.34298321069861565
40,478.0,100.18376618407356,0.8770642201834863,0.5975,58.91422594142259,152.0,9.0,0.936310606289057,43.422856257729606,15.248933007914875,-1.3277607882876632,0.5984709199845576,25.229469190100343,594.7227074235809,0.04693321862825589,0.038535726189351076,0.5193163020610404
41,1517.0,155.9827560572969,0.9668578712555768,0.7735849056603774,65.10019775873434,196.0,9.0,0.7017015129481199,53.26971177007162,37.95312709065775,0.2148134828889293,0.7835058899151317,30.084749222076333,696.3633879781421,0.04333751497101779,0.02479329427989281,0.6177004873134113
42,687.0,106.5685424949238,0.9410958904109589,0.6155913978494624,52.0509461426492,153.0,0.0,0.8139876693579544,39.466195416133914,22.92520851170327,0.5226120042370835,0.7601661888414767,24.816567718189997,449.55076923076933,0.06022236658144529,0.0354347470962493,0.6297559093329346
43,2006.0,173.4386001800126,0.9695505074915418,0.7143874643874644,85.63958125623131,255.0,5.0,0.6216727911810909,57.335750766126615,44.909777853158374,0.874176975702954,0.8380101393496997,40.29293544387248,926.1299897645855,0.04322155856267026,0.020844843249146674,0.7128917380436821
44,1437.0,154.50966799187808,0.9466403162055336,0.6245110821382008,80.23729993041057,255.0,2.0,0.7513773717166119,53.55387416254569,35.33874217944712,0.049516174177915706,0.7564066067953653,48.4496745891715,794.0921625544269,0.05296275960930612,0.0253472412141843,0.833998041769837
45,2054.0,168.75230867899737,0.9827751196172249,0.7322638146167558,83.15920155793573,255.0,15.0,0.5362880490665941,55.87481956091987,47.16030489052342,0.9871569353798755,0.9063811337401009,39.83597663683904,850.4792810783824,0.054455338056466324,0.02123725317539012,0.7322986627560475
